,Laptop_BRAND,Laptop model name,Device color,Number of ratings,Number of reviews,RAM,ROM,DISPLAY,Discounted_Price,Original_Price,Discount %
428,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
429,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
430,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
431,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
432,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
433,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
434,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
435,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
436,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
437,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
438,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
439,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
440,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
441,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
442,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
443,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
444,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
445,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
446,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
447,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
448,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
449,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
450,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
451,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
452,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
453,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
454,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
455,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
456,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
457,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
458,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
459,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
460,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
461,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
462,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
463,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
464,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
465,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
466,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
467,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
468,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
469,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
470,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
471,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
472,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
473,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
474,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
475,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
476,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
477,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
478,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
479,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
480,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
481,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
482,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
483,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
484,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
485,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
486,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
487,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
488,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
489,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
490,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
491,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
492,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
493,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
494,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
495,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
496,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
497,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
498,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
499,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
500,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
501,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
502,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
503,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
504,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
505,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
506,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
507,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
508,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
509,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
510,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
511,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
512,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
513,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
514,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
515,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
516,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
517,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
518,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
519,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
520,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
521,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
522,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
523,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
524,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
525,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
526,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
527,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
528,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
529,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
530,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
531,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
532,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
533,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
534,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
535,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
536,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
537,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
538,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
539,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
540,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
541,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
542,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
543,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
544,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
545,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
546,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
547,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
548,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
549,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
550,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
551,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
552,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
553,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
554,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
555,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
556,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
557,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
558,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
559,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
560,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
561,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
562,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
563,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
564,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
565,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
566,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
567,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
568,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
569,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
570,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
571,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
572,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
573,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
574,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
575,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
576,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
577,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
578,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
579,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
580,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
581,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
582,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
583,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
584,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
585,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
586,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
587,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
588,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
589,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
590,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
591,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
592,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
593,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
594,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
595,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
596,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
597,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
598,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
599,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
600,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
601,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
602,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
603,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
604,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
605,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
606,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
607,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
608,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
609,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
610,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
611,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
612,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
613,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
614,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
615,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
616,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
617,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
618,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
619,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
620,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
621,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
622,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
623,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
624,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
625,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
626,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
627,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
628,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
629,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
630,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
631,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
632,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
633,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
634,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
635,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
636,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
637,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
638,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
639,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
640,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
641,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
